#	Time of Day	Thread	Module	API	Return Value	Error	Duration
1	10:30:02.226 PM	1	d3d9.dll	CreateFileA ( "C:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.0.247\deploy\League of Legends.exe", GENERIC_READ, FILE_SHARE_DELETE | FILE_SHARE_READ | FILE_SHARE_WRITE, NULL, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x0000015c		0.0000217
12	10:30:02.244 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.63/Archive_114251360.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001a8		0.0000492
13	10:30:02.245 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.141/Archive_65415632.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001b0		0.0000228
14	10:30:02.245 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.141/Archive_65415632.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001ac		0.0000234
15	10:30:02.245 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.67/Archive_114251424.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001b4		0.0000176
16	10:30:02.245 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.67/Archive_114251424.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001b0		0.0000468
17	10:30:02.245 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.25/Archive_114252416.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001b8		0.0000187
18	10:30:02.246 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.25/Archive_114252416.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001b4		0.0000237
19	10:30:02.246 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.101/Archive_65416656.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001bc		0.0000190
20	10:30:02.246 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.101/Archive_65416656.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001b8		0.0000228
21	10:30:02.247 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.111/Archive_65415888.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001c0		0.0000184
22	10:30:02.247 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.111/Archive_65415888.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001bc		0.0000222
23	10:30:02.247 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.174/Archive_65414368.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001c4		0.0000155
24	10:30:02.247 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.174/Archive_65414368.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001c0		0.0000234
25	10:30:02.248 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.172/Archive_65414336.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001c8		0.0000123
26	10:30:02.248 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.172/Archive_65414336.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001c4		0.0000234
27	10:30:02.248 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.139/Archive_65415248.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001cc		0.0000178
28	10:30:02.248 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.139/Archive_65415248.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001c8		0.0000181
29	10:30:02.249 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.79/Archive_114251200.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001d0		0.0000176
30	10:30:02.249 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.79/Archive_114251200.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001cc		0.0000208
31	10:30:02.249 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.37/Archive_114252192.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001d4		0.0000170
32	10:30:02.249 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.37/Archive_114252192.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001d0		0.0000211
33	10:30:02.249 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.43/Archive_114251872.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001d8		0.0000164
34	10:30:02.250 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.43/Archive_114251872.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001d4		0.0000152
35	10:30:02.250 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.137/Archive_65415216.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001dc		0.0000143
36	10:30:02.250 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.137/Archive_65415216.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001d8		0.0000199
37	10:30:02.250 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.53/Archive_114251616.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001e0		0.0000170
38	10:30:02.250 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.53/Archive_114251616.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001dc		0.0000644
39	10:30:02.250 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.55/Archive_114251648.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001e4		0.0000120
40	10:30:02.250 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.55/Archive_114251648.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001e0		0.0000158
41	10:30:02.250 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.126/Archive_65415936.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001e8		0.0000146
42	10:30:02.251 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.126/Archive_65415936.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001e4		0.0000140
43	10:30:02.251 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.161/Archive_65415120.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001ec		0.0000108
44	10:30:02.251 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.161/Archive_65415120.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001e8		0.0000146
45	10:30:02.251 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.169/Archive_65414992.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001f0		0.0000111
46	10:30:02.251 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.169/Archive_65414992.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001ec		0.0000143
47	10:30:02.251 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.41/Archive_114251840.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001f4		0.0000114
48	10:30:02.252 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.41/Archive_114251840.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001f0		0.0000287
49	10:30:02.252 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.130/Archive_65415328.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001f8		0.0000138
50	10:30:02.252 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.130/Archive_65415328.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001f4		0.0000196
51	10:30:02.252 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.64/Archive_114251376.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001fc		0.0000135
52	10:30:02.252 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.64/Archive_114251376.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001f8		0.0000205
53	10:30:02.252 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.120/Archive_65416096.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000200		0.0000138
54	10:30:02.252 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.120/Archive_65416096.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001fc		0.0000149
55	10:30:02.253 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.62/Archive_114251344.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000204		0.0000149
56	10:30:02.253 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.62/Archive_114251344.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000200		0.0000140
57	10:30:02.253 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.87/Archive_114250912.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000208		0.0000105
58	10:30:02.253 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.87/Archive_114250912.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000204		0.0000138
59	10:30:02.253 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.155/Archive_65414672.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x0000020c		0.0000111
60	10:30:02.253 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.155/Archive_65414672.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000208		0.0000138
61	10:30:02.253 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.163/Archive_65415152.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000210		0.0000111
62	10:30:02.253 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.163/Archive_65415152.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x0000020c		0.0000138
63	10:30:02.253 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.107/Archive_65416496.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000214		0.0000102
64	10:30:02.254 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.107/Archive_65416496.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000210		0.0000140
65	10:30:02.254 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.166/Archive_65414912.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000218		0.0000108
66	10:30:02.254 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.166/Archive_65414912.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000214		0.0000140
67	10:30:02.254 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.157/Archive_65414704.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x0000021c		0.0000108
68	10:30:02.254 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.157/Archive_65414704.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000218		0.0000138
69	10:30:02.254 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.142/Archive_65415616.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000220		0.0000102
70	10:30:02.254 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.142/Archive_65415616.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x0000021c		0.0000135
71	10:30:02.254 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.145/Archive_65415440.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000224		0.0000105
72	10:30:02.254 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.145/Archive_65415440.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000220		0.0000138
73	10:30:02.255 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.71/Archive_114251072.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000228		0.0000120
74	10:30:02.255 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.71/Archive_114251072.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000224		0.0000164
75	10:30:02.255 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.153/Archive_65414896.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x0000022c		0.0000111
76	10:30:02.255 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.153/Archive_65414896.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000228		0.0000187
77	10:30:02.255 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.173/Archive_65414384.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000230		0.0000129
78	10:30:02.255 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.173/Archive_65414384.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x0000022c		0.0000155
79	10:30:02.256 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.150/Archive_65414816.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000234		0.0000114
80	10:30:02.256 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.150/Archive_65414816.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x00000230		0.0000205
